id,GrLivArea,OverallQual,YearBuilt,YearRemodAdd,LotArea,SalePrice
64,2034,7,1997,1998,9375,219500
65,2473,8,2004,2005,9591,317000
66,2207,7,1970,1989,19900,180000
67,1479,7,2003,2003,10665,226000
68,747,4,1945,1950,4608,80000
69,2287,7,1953,1953,15593,225000
70,2223,7,1973,1973,13651,244000
71,845,4,1982,2006,7599,129500
72,1718,7,1998,1998,10141,185000
73,1086,5,1954,2003,10200,144900
74,1605,3,1915,1950,5790,107400
75,988,4,1973,1973,1596,91000
76,952,4,1956,1956,8475,135750
77,1285,5,1948,2001,8635,127000
78,1768,4,1968,1968,10778,136500
79,1230,5,1910,1981,10440,110000
80,2142,6,1968,1968,13000,193500
81,1337,6,1998,1998,4500,153500
82,1563,8,2007,2007,10206,245000
83,1065,5,1960,1960,8892,126500
84,1474,7,1995,1996,8530,168500
85,2417,8,1991,1992,16059,260000
86,1560,6,2005,2005,11911,174000
87,1224,6,2009,2009,3951,164500
88,1526,3,1915,1982,8470,85000
89,990,4,1994,1995,8070,123600
90,1040,4,1950,1950,7200,109900
91,1235,5,1961,1961,8500,98600
92,964,5,1921,2006,13360,163500
93,2291,6,1910,1998,7200,133900
94,1786,6,1997,1997,9337,204750
95,1470,6,1993,1993,9765,185000
96,1588,7,1999,1999,10264,214000
97,960,4,1965,1965,10921,94750
98,835,5,1920,1950,10625,83000
99,1225,4,1959,1959,9320,128950
100,1610,6,1977,2001,10603,205000
101,1732,6,1985,1985,9206,178000
102,1535,5,1979,1979,7018,118964
103,1226,7,2009,2009,10402,198900
104,1818,7,1931,1950,7758,169500
105,1992,8,2003,2004,9375,250000
106,1047,4,1885,1995,10800,100000
107,789,5,1948,1950,6000,115000
108,1517,5,1919,2005,8500,115000
109,1844,6,1977,1977,11751,190000
110,1855,6,1954,1972,9525,136900
111,1430,7,2000,2000,7750,180000
112,2696,7,2007,2007,9965,383970
113,2259,6,1953,1953,21000,217000
114,2320,6,1945,2002,7259,259500
115,1458,6,1999,1999,3230,176000
116,1092,5,1962,1962,11616,139000
117,1125,5,2006,2007,8536,155000
118,3222,7,1990,1990,12376,320000
119,1456,6,2005,2006,8461,163990
120,988,6,1969,1969,21453,180000
121,1123,4,1939,1950,6060,100000
122,1080,6,1958,1958,9464,136000
123,1199,6,1993,1993,7892,153900
124,1586,6,1979,1998,17043,181000
125,754,6,1935,1982,6780,84500
126,958,6,1976,1976,4928,128000
127,840,5,1930,1950,4388,87000
128,1348,6,1966,1966,7590,155000
129,1053,5,1958,1991,8973,150000
130,2157,7,1966,1966,14200,226000
131,2054,6,2000,2000,12224,244000
132,1327,5,1959,2002,7388,150750
133,1296,8,2001,2002,6853,220000
134,1721,5,1968,1993,10335,180000
135,1682,7,1970,1970,10400,174000
136,1214,5,1967,1967,10355,143000
137,1959,7,1988,1989,11070,171000
138,1852,8,1999,2000,9066,230000
139,1764,6,1997,1997,15426,231500
140,864,4,1971,1971,10500,115000
141,1734,7,2005,2005,11645,260000
142,1385,5,1952,1952,8520,166000
143,1501,7,1999,1999,10335,204000
144,1728,5,1963,1963,9100,125000
145,1709,6,2004,2006,2522,130000
146,875,5,1931,1993,6120,105000
147,2035,7,2001,2001,9505,222500
148,1080,7,2004,2005,7500,141000
149,1344,5,1936,1950,6240,115000
150,969,5,1975,1975,10356,122000
151,1710,8,2007,2008,13891,372402
152,1993,6,1971,1971,14803,190000
153,1252,6,1960,1975,13500,235000
154,1200,6,1923,1950,11340,125000
155,1096,6,1924,1950,9600,79000
156,1040,5,1950,1950,7200,109500
157,1968,8,2009,2010,12003,269500
158,1947,7,2004,2005,12552,254900
159,2462,7,2005,2006,19378,320000
160,1232,6,1984,1984,11120,162500
161,2668,9,2003,2004,13688,412500
162,1541,7,2005,2005,12182,220000
163,882,4,1956,1956,5500,103200
164,1616,6,1926,2004,5400,152000
165,1355,5,1940,1999,10106,127500
166,1867,5,1955,1993,10708,190000
167,2161,8,2007,2007,10562,325624
168,1720,7,2004,2004,8244,183500
169,1707,8,1981,1981,16669,228000
170,1382,5,1941,1950,12358,128500
171,1656,6,1960,1960,31770,215000
172,1767,7,1987,1987,5306,239000
173,1362,6,1961,1961,10197,163000
174,1651,6,1986,1986,12416,184000
175,2158,6,1950,2001,12615,243000
176,2060,6,1988,1989,10029,211000
177,1920,5,1958,1958,13650,172500
178,2234,9,2008,2009,17423,501837
179,968,5,1923,2006,8520,100000
180,1525,6,2000,2000,2117,177000
181,1802,7,1920,1950,7588,200100
182,1340,5,1957,2006,9060,120000
183,2082,7,2003,2003,11426,200000
184,1252,5,1908,1991,7438,127000
185,3608,10,1892,1993,22950,475000
186,1217,7,1990,1991,9947,173000
187,1656,5,1916,1987,10410,135000
188,1224,5,1979,1979,7018,153337
189,1593,8,2001,2002,4923,286000
190,2727,8,1932,1994,10570,315000
191,1479,7,1972,2004,7472,184000
192,1431,7,1999,1999,9017,192000
193,1709,7,2004,2004,2522,130000
194,864,5,1972,1972,7180,127000
195,1456,6,1976,1976,2280,148500
196,1726,7,2007,2007,9416,311872
197,3112,8,1918,1990,25419,235000
198,2229,6,1912,1950,5520,104000
199,1713,8,2004,2005,9591,274900
200,1121,4,2003,2004,8546,140000
201,1279,6,1977,1977,10125,171500
202,1310,6,1924,1950,7000,112000
203,848,6,2004,2004,4438,149000
204,1284,5,1947,1950,3500,110000
205,1442,7,1990,1990,11851,180500
206,1696,5,1962,1962,13673,143900
207,1100,4,1960,1960,12493,141000
208,2062,7,1988,1989,14364,277000
209,1092,6,1964,1964,8250,145000
210,864,5,1925,1950,5604,98000
211,1212,6,2009,2009,10420,186000
212,1852,7,2009,2009,8640,252678
213,990,5,1995,1995,13568,156000
214,1392,6,1977,1977,10900,161750
215,1236,5,1957,1996,10011,134450
216,1436,7,2004,2004,8450,210000
217,1328,4,1925,1950,9906,107000
218,1954,7,1939,2006,15660,311500
219,1248,7,2005,2006,3010,167240
220,1498,7,2006,2006,8990,204900
221,2267,6,2002,2002,8068,200000
222,1552,6,1975,1975,11475,179900
223,864,4,1971,1971,10500,97000
224,2392,10,2003,2003,13472,386250
225,1302,5,1971,1971,1680,112000
226,2520,7,1995,1995,9950,290000
227,987,6,1970,1970,1869,106000
228,912,5,1967,1967,8521,125000
229,1555,7,2005,2006,3182,192500
230,1194,6,1959,1959,8760,148000
231,2794,8,1995,1996,15138,403000
232,987,6,1972,1972,1680,94500
233,894,5,1976,1976,10650,128200
234,1960,6,2002,2002,7851,216500
235,987,6,1971,1971,1680,89500
236,1414,7,2004,2004,8773,185500
237,1744,7,1993,2003,9453,194500
238,1694,8,2007,2007,12030,318000
239,1487,6,1945,1950,8741,113000
240,1566,8,2008,2008,9000,262500
241,866,5,1945,1997,3880,110500
242,1440,5,1900,1950,5000,79000
243,1217,6,1980,1980,10762,120000
244,2110,7,1994,2002,8880,205000
245,1872,7,1988,1988,10400,241500
246,1928,6,1910,1950,9142,137000
247,1375,6,1954,1954,11310,140000
248,1668,7,2003,2003,11317,180000
249,2144,6,1958,2006,159000,277000
250,1306,3,1940,1966,5350,76500
251,1625,8,2006,2007,4750,235000
252,1640,6,2004,2004,8366,173000
253,1302,6,1964,1991,9350,158000
254,1314,5,1957,1957,8400,145000
255,2291,7,1999,1999,8738,230000
256,1728,6,2003,2003,8791,207500
257,1604,7,2006,2006,8814,220000
258,1792,7,2001,2001,12435,231500
259,882,5,1956,1956,12702,97000
260,1382,6,1962,1962,19296,176000
261,2574,8,2007,2007,9588,276000
262,1212,6,1977,1995,8471,151000
263,1316,5,1929,2001,5500,130000
264,764,5,1925,2004,5232,73000
265,1422,6,1981,1981,12090,175500
266,1511,6,1997,1997,11207,185000
267,2192,5,1939,1997,8400,179500
268,778,5,1940,1955,6900,120500
269,1113,6,1976,1976,7917,148000
270,1939,8,2006,2006,10728,266000
271,1363,7,1954,2005,39104,241500
272,2270,8,1999,2007,11764,290000
273,1632,6,1958,1988,9600,139000
274,816,5,1982,1982,8314,124500
275,1548,7,1925,2007,7264,205000
276,1560,7,2003,2003,9196,201000
277,864,4,1951,1951,19138,141000
278,2121,9,2006,2007,14450,415298
279,2022,7,1977,1977,10005,192000
280,1982,7,1989,1989,11287,228500
281,1262,6,2006,2006,7200,185000
282,1314,7,2007,2008,5063,207500
283,1468,8,2008,2009,9612,244600
284,1575,6,1992,1992,8012,179200
285,1250,7,2006,2007,4251,164700
286,1734,6,1962,1981,9786,159000
287,858,4,1971,1971,8125,88000
288,900,5,1967,1967,9819,122000
289,1396,6,1915,2003,8730,153575
290,1919,8,2006,2006,15611,233230
291,1716,5,1912,2000,5687,135900
292,1716,5,1949,2008,11409,131000
293,2263,7,1977,1994,16659,235000
294,1644,6,1953,1953,9600,167000
295,1003,6,1984,1984,7937,142500
296,1558,5,1950,1950,13710,152000
297,1950,7,1997,1998,7399,239000
298,1743,6,1968,1968,11700,175000
299,1152,6,1950,2004,14000,158500
300,1336,5,1953,1953,15750,157000
301,2452,8,1998,1999,16226,267000
302,1541,7,2001,2002,13704,205000
303,894,5,1972,1972,9800,149900
304,3493,7,1880,2002,18386,295000
305,2000,8,2004,2005,10386,305900
306,2243,7,1990,1991,13474,225000
307,1406,6,1920,1950,7920,89500
308,861,4,1940,1950,12342,82500
309,1944,9,2003,2004,12378,360000
310,1501,6,1993,1994,7685,165600
311,972,6,1948,2002,8000,132000
312,1118,5,1939,1950,7800,119900
313,2036,7,1965,1965,215245,375000
314,1641,7,1925,1990,9600,178000
315,1432,7,2004,2005,7795,188500
316,2353,7,1980,1980,13005,260000
317,1959,8,2006,2006,9000,270000
318,2646,7,1993,1993,9900,260000
319,1472,7,1980,1980,14115,187500
320,2596,9,2006,2006,16259,342643
321,2468,8,2004,2004,12099,354000
322,2730,7,1986,1987,10380,301000
323,1163,3,1955,2005,5820,126175
324,2978,7,1967,2007,11275,242000
325,803,5,1941,1950,5000,87000
326,1719,8,1993,1993,10846,324000
327,1383,6,1960,1960,11600,145250
328,2134,6,1916,1994,11888,214500
329,1192,5,1920,1950,6402,78000
330,1728,5,1964,1964,10624,119000
331,1056,5,1958,1992,8176,139000
332,1629,8,2003,2004,10655,284000
333,1358,7,2004,2004,8198,207000
334,1638,6,1998,1998,9042,192000
335,1786,5,1965,1965,164660,228950
336,1922,9,2005,2006,14157,377426
337,1536,7,2002,2003,9135,214000
338,1621,7,1984,1998,14145,202500
339,1215,6,1958,1998,12400,155000
340,1908,8,2002,2002,14191,202900
341,841,4,1950,1950,8400,82000
342,1040,3,1949,1950,8544,87500
343,1684,9,2005,2005,8849,266000
344,1112,5,1976,1976,2592,85000
345,1577,6,1939,1950,6435,140200
346,958,6,1960,1998,12772,151500
347,1478,6,1960,1960,17600,157500
348,1626,7,2003,2004,2448,154000
349,2728,9,2005,2006,20431,437154
350,1869,9,2007,2007,7820,318061
351,1453,7,1986,1986,5271,190000
352,1111,5,1941,1950,9084,95000
353,720,6,1928,2003,8520,105900
354,1595,6,1940,2000,8400,140000
355,1200,6,1995,1995,11249,177500
356,1167,6,1992,1992,9248,173000
357,1142,5,1976,1976,4224,134000
358,1352,5,1958,1958,6930,130000
359,1924,8,1998,1998,12011,280000
360,912,6,1978,1978,7540,156000
361,1505,5,1940,1982,9144,145000
362,1922,7,2003,2003,7301,198500
363,987,6,1972,2007,1680,118000
364,1574,6,1976,1976,18800,190000
365,1344,5,1920,1997,10690,147000
366,1394,6,1963,1963,9500,159000
367,1431,6,1962,1962,9150,165000
368,1268,5,1954,1954,7800,132000
369,1287,5,1959,2006,9830,162000
370,1664,6,2000,2000,8121,172400
371,1588,4,1959,1959,17120,134432
372,752,6,1984,1984,7175,125000
373,1319,5,1953,1953,10634,123000
374,1928,7,2003,2004,8200,219500
375,904,1,1922,1950,10020,61000
376,914,5,1996,1996,8846,148000
377,2466,8,2004,2005,11143,340000
378,1856,9,2010,2010,11394,394432
379,1800,6,2000,2000,8123,179000
380,1691,5,1924,1950,5000,127000
381,1301,7,2006,2006,7200,187750
382,1797,7,2006,2006,9245,213500
383,784,6,1928,1950,9000,76000
384,1953,6,1992,1992,53107,240000
385,1269,8,2004,2005,3182,192000
386,1184,5,1910,1996,8410,81000
387,1125,6,1976,1976,7200,125000
388,1479,7,1999,2000,9382,191000
389,2332,10,2007,2008,12474,426000
390,1367,5,1900,1950,8405,119000
391,1961,6,2001,2002,12209,215000
392,882,5,1959,1959,8339,106500
393,788,4,1941,1950,7446,100000
394,1034,5,1940,1950,10134,109000
395,1144,5,1956,1956,9571,129000
396,894,5,1972,1972,7200,123000
397,1812,5,1962,1962,7590,169500
398,1077,5,1920,1950,8967,67000
399,1550,7,2006,2007,8125,241000
400,1288,8,1996,1996,14963,245500
401,1310,7,2005,2005,8767,164990
402,672,5,1940,1997,10200,108000
403,2263,8,1998,1998,12090,258000
404,1572,6,1995,1996,10364,168000
405,1620,4,1976,1993,9991,150000
406,1639,6,1936,1950,10480,115000
407,1680,6,1915,1976,15576,177000
408,2172,7,2006,2006,14154,280000
409,2078,8,2007,2008,10800,339750
410,1276,5,1958,1958,9571,60000
411,1056,5,1955,1955,34650,145000
412,1478,7,2009,2009,4403,222000
413,1028,5,1927,1950,8960,115000
414,2097,7,1993,1993,11228,228000
415,1340,7,2007,2007,8899,181134
416,1400,6,1978,1978,7844,149500
417,2624,6,1918,1950,22420,239000
418,1134,5,1940,1950,8160,126000
419,1056,5,1968,1968,8450,142000
420,1344,7,1997,1998,7060,206300
421,1602,6,1977,2000,16635,215000
422,988,5,1954,1954,21750,113000
423,2630,8,1998,1998,9200,315000
424,1196,6,1956,1956,9000,139000
425,1389,7,1946,1992,3378,135000
426,1644,7,1989,1989,12800,275000
427,907,4,1957,1957,8593,109008
428,1208,7,2007,2007,6762,195400
429,1412,6,1988,1988,11457,175000
430,987,6,1971,1971,1680,85400
431,1198,6,1920,1998,5586,79900
432,1365,5,1971,1971,1920,122500
433,1604,6,1997,1998,10839,181000
434,630,4,1972,1972,1890,81000
435,1661,7,1996,1996,10667,212000
436,1118,6,1920,1950,4400,116000
437,904,6,1926,2004,6000,119000
438,694,5,1913,2002,4280,90350
439,1196,6,1920,2000,12354,110000
440,2402,10,2008,2008,15431,555000
441,1440,4,1955,1955,12108,118000
442,1573,5,1930,1992,6240,162900
443,1258,7,2006,2007,3922,172500
444,1908,7,1994,1995,8750,210000
445,1689,6,1956,1956,9855,127500
446,1888,6,1966,2002,16492,190000
447,1886,7,1998,1999,11214,199900
448,1376,6,1937,1950,8600,119500
449,1183,3,1948,2002,6000,120000
450,813,6,1930,2005,5684,110000
451,1533,7,1975,1975,70761,280000
452,1756,6,1996,1997,9303,204000
453,1590,8,2008,2008,9000,210000
454,1728,5,1976,1976,9297,188000
455,1242,7,1973,1973,9600,175500
456,1344,5,1916,1950,4571,98000
457,1663,4,1954,1994,53227,256000
458,1666,8,1925,1996,5100,161000
459,1203,5,1950,1950,7015,110000
460,1935,8,2009,2009,8004,263435
461,1135,7,1936,2007,7200,155000
462,864,5,1965,1965,8281,62383
463,1660,6,1934,1995,11988,188700
464,1040,5,1978,1978,8430,124000
465,1414,7,2004,2004,3072,178740
466,1277,7,1970,1970,10628,167000
467,1644,5,1942,1995,9480,146500
468,1634,8,2006,2006,11428,250000
469,1710,6,1993,1993,9291,187000
470,1502,8,1985,1985,6820,212000
471,1969,7,1977,1977,11952,190000
472,1072,6,2005,2005,3675,148000
473,1976,8,2006,2007,14977,440000
474,1652,8,2000,2000,5330,251000
475,970,5,1963,1963,8480,132500
476,1493,6,1997,1998,13125,208900
477,2643,9,2006,2006,13693,380000
478,1718,8,2007,2008,10637,297000
479,1131,4,1937,2000,5925,89471
480,1850,9,2004,2005,16033,326000
481,1792,9,2003,2004,11846,374000
482,1826,7,1915,2005,2500,155000
483,1216,6,1998,1998,4500,164000
484,999,5,1962,2001,7758,132500
485,1113,5,1950,2007,9600,147000
486,1073,5,1965,1965,10289,156000
487,1484,5,1971,1971,12243,175000
488,2414,5,1900,1970,10800,160000
489,630,4,1970,2002,1526,86000
490,1304,5,1976,1976,2665,115000
491,1578,6,1941,1950,9490,133000
492,1456,6,2006,2006,15578,172785
493,1269,5,1960,1960,7931,155000
494,886,5,1938,1996,5784,91300
495,720,4,1920,1950,7879,34900
496,3228,8,1992,1993,12692,430000
497,1820,7,1925,1950,9120,184000
498,899,5,1967,2004,7800,130000
499,912,5,1958,1985,7535,120000
500,1218,6,1973,1973,1890,113000
501,1768,7,2005,2005,9803,226700
502,1214,5,1965,1965,9170,140000
503,1801,7,1959,1997,15602,289000
504,1322,6,1974,1974,2308,147000
505,1960,5,1952,1952,7596,124500
506,1911,8,1993,1994,9554,215000
507,1218,6,2009,2009,7862,208300
508,1378,7,1928,2005,9600,161000
509,1041,5,1959,1959,9600,124500
510,1363,5,1951,2000,14559,164900
511,1368,7,2005,2006,6792,202665
512,864,5,1958,1958,9100,129900
513,1080,6,1983,1983,9187,134000
514,789,5,1926,1950,10594,96500
515,2020,10,2009,2009,12220,402861
516,2119,6,1972,1972,10448,158000
517,2344,7,1996,1997,10208,265000
518,1796,6,1998,1998,9531,211000
519,2080,7,1926,2004,10918,234000
520,1294,4,1900,2000,10800,106250
521,1244,6,1957,1957,11988,150000
522,1664,6,1947,1950,5000,159000
523,4676,10,2007,2008,40094,184750
524,2398,7,1996,1997,11787,315750
525,1266,7,2005,2005,7500,176000
526,928,5,1956,2000,13300,132000
527,2713,9,2008,2008,14948,446261
528,605,4,1920,2002,9098,86000
529,2515,6,1957,1975,32668,200624
530,1509,6,1988,1989,10200,175000
531,1362,6,1920,1999,6155,128000
532,827,5,1955,2007,7200,107500
533,334,1,1946,1950,5000,39300
534,1414,8,2004,2004,9056,178000
535,1347,5,1910,1991,7000,107500
536,1724,7,1998,1999,8924,188000
537,864,4,1972,1972,12735,111250
538,1159,5,1968,1968,11553,158000
539,1601,8,2001,2002,11423,272000
540,1838,9,2006,2006,14601,315000
541,2285,8,2000,2000,11000,248000
542,1680,7,1998,1999,10140,213250
543,767,7,1998,1998,4058,133000
544,1496,7,2006,2006,17104,179665
545,2183,7,1988,1988,13837,229000
546,1635,6,1923,1950,8737,210000
547,768,5,1970,1970,7244,129500
548,825,5,1955,1995,8235,125000
549,2094,7,2003,2004,9375,263000
550,1069,6,1977,1977,4043,140000
551,928,5,1957,1957,6000,112500
552,1717,8,2006,2006,11146,255500
553,1126,4,1949,2003,8777,108000
554,2046,7,2003,2004,10625,284000
555,1048,5,1922,1950,6380,113000
556,1092,5,1957,1957,14850,141000
557,1336,4,1920,1950,11040,108000
558,1446,7,1996,1997,21872,175000
559,1557,7,2003,2004,3196,234000
560,1392,5,1957,1996,11341,121500
561,1389,5,1974,1975,10010,170000
562,996,5,1940,1969,13907,108000
563,1674,6,1918,1950,21780,185000
564,2295,7,1992,2000,13346,268000
565,1647,6,1915,1950,6858,128000
566,2504,9,2005,2007,11198,325000
567,1535,7,2004,2004,10171,214000
568,2132,8,1983,2009,12327,316600
569,943,5,1979,1979,7032,135960
570,1728,5,1965,1965,13101,142600
571,864,6,1959,1959,7332,120000
572,1692,7,2009,2009,13159,224500
573,1430,7,2000,2000,9967,170000
574,1109,5,1971,2005,10500,139000
575,1216,5,1947,1950,8480,118500
576,1477,7,1928,1950,6292,145000
577,1320,5,1966,1966,11777,164500
578,1392,7,2007,2007,3604,146000
579,1795,5,1954,1954,12150,131500
580,1429,6,1960,1987,14585,181900
581,2042,8,2008,2009,12704,253293
582,816,6,1990,1990,11841,118500
583,2775,10,1893,2000,13500,325000
584,1573,4,1935,1995,6120,133000
585,2028,8,2005,2006,11443,369900
586,838,6,1918,2000,10267,130000
587,860,5,1982,1982,8740,137000
588,1473,5,1968,2003,25095,143000
589,935,5,1930,1960,9100,79500
590,1582,7,2004,2004,8320,185900
591,2296,10,2008,2008,13478,451950
592,816,5,1982,2003,6600,138000
593,848,6,2003,2003,4435,140000
594,924,5,1975,1975,7990,110000
595,1826,8,2005,2006,11302,319000
596,1368,6,1910,1993,3600,114504
597,1402,7,2006,2007,3922,194201
598,1647,5,1977,1977,12984,217500
599,1556,6,1980,1980,1950,151000
600,1904,8,2005,2005,10927,275000
601,1375,6,1937,1950,9000,141000
602,1915,8,1992,1992,10041,220000
603,1200,7,2004,2005,3182,151000
604,1494,7,2002,2002,12803,221000
605,1986,7,1965,1990,13600,205000
606,1040,5,1996,1996,12464,152000
607,2008,5,1948,2002,7800,225000
608,3194,8,1934,1998,12168,359100
609,1029,4,1961,1961,7943,118500
610,2153,9,2000,2000,11050,313000
611,1032,6,1978,1978,10395,148000
612,1872,8,2001,2001,11885,261500
613,1120,5,2007,2007,8402,147000
614,630,4,1972,1972,1491,75500
615,1054,6,1963,1963,8800,137500
616,1509,6,2002,2003,7861,183200
617,832,6,1954,1954,7227,105500
618,1828,9,2007,2007,11694,314813
619,2262,8,2003,2003,12244,305000
620,864,3,1914,1950,8248,67000
621,2614,6,1974,1997,10800,240000
622,980,5,1977,1977,7064,135000
623,1512,6,2000,2000,2117,168500
624,1790,6,1972,1972,10400,165150
625,1116,6,1962,1962,10000,160000
626,1422,5,1960,1978,12342,139900
627,1520,6,1955,1972,9600,153000
628,2080,5,1969,1969,11606,135000
629,1350,6,1964,1964,9020,168500
630,1750,5,1880,1991,9000,124000
631,1554,8,2006,2006,4590,209500
632,1411,7,1977,1977,11900,82500
633,1056,5,1954,2005,9250,139400
634,1056,6,1980,1980,6979,144000
635,3395,6,1914,1995,10896,200000
636,800,2,1936,1950,6120,60000
637,1387,5,1954,1954,6000,93000
638,796,5,1910,1950,8777,85000
639,1567,8,2006,2006,3982,264561
640,1518,8,2003,2004,12677,274000
641,1929,7,2001,2001,7050,226000
642,2704,8,1972,1995,13860,345000
643,1620,5,1969,1969,10793,152000
644,1766,9,2009,2009,9187,370878
645,981,6,1971,1971,10530,143250
646,1048,5,1950,1950,7200,98300
647,1094,6,1953,1953,10452,155000
648,1839,6,1966,1966,7700,155000
649,630,4,1970,1970,1936,84500
650,1665,7,2007,2007,8125,205950
651,1510,4,1940,1950,9084,108000
652,1716,7,1996,1996,8750,191000
653,1469,6,1906,1995,10320,135000
654,2113,8,1995,1995,10437,350000
655,1092,6,1971,1971,1680,88000
656,1053,5,1959,2006,10007,145500
657,1502,7,1931,2000,7200,149000
658,1458,6,1948,1950,17503,97500
659,1486,5,1964,1999,9937,167000
660,1935,7,1976,1976,12384,197900
661,2448,8,1994,2005,46589,402000
662,1392,6,1968,1968,13560,110000
663,1181,4,1972,1972,10012,137500
664,2097,8,2005,2006,20896,423000
665,1936,8,2000,2000,11194,230500
666,2380,6,1965,1979,18450,129000
667,1679,6,1994,1998,8125,193500
668,1437,5,1956,1987,14175,168000
669,1180,4,1922,1950,11600,137500
670,1476,6,2005,2005,8633,173500
671,1369,6,1925,1950,6629,103600
672,1208,6,1977,1977,11250,165000
673,1839,6,1957,2004,14442,257500
674,1136,6,1965,1965,9200,140000
675,1441,6,1978,1978,2289,148500
676,1774,4,1900,1950,9600,87000
677,792,5,1924,2006,9022,109500
678,2046,8,2008,2008,11844,372500
679,988,5,1961,1961,9945,128500
680,923,6,1980,1980,8012,143000
681,1520,5,1932,2000,4500,159434
682,1291,6,1996,1997,2887,173000
683,1668,9,2002,2002,11248,285000
684,1839,7,1998,1998,16770,221000
685,2090,7,1984,1984,5062,207500
686,1761,7,2007,2007,10207,227875
687,1102,7,2004,2004,5105,148800
688,1419,8,2007,2007,8089,392000
689,1362,6,2005,2006,7577,194700
690,848,6,2004,2004,4426,141000
691,4316,10,1994,1995,21535,755000
692,2519,7,1989,1990,26178,335000
693,1073,5,1921,1968,5400,108480
694,1539,5,1936,1950,6120,141500
695,1137,6,1987,1987,13811,176000
696,616,5,1921,1950,6000,89000
697,1148,5,1952,1952,6420,123500
698,894,5,1965,2009,8450,138500
699,1391,7,2004,2004,4282,196000
700,1800,8,2002,2002,14331,312500
701,1164,7,1969,1969,9600,140000
702,2576,8,2006,2006,12438,361919
703,1812,5,1900,1996,7630,140000
704,1484,7,2004,2005,8400,213000
705,1092,4,1930,1950,5600,55000
706,1824,7,1971,2002,115149,302000
707,1324,8,2006,2006,6240,254000
708,1456,7,2007,2007,9018,179540
709,904,5,1966,1966,7162,109900
710,729,3,1935,2003,4130,52000
711,1178,4,1900,1950,8712,102776
712,1228,8,1988,1989,4671,189000
713,960,4,1970,1970,9873,129000
714,1479,6,1976,2005,13517,130500
715,1350,6,1974,1974,10140,165000
716,2554,7,1890,1998,10800,159500
717,1178,5,1973,2000,10000,157000
718,2418,7,1993,1994,10542,341000
719,971,5,1969,1969,9920,128500
720,1742,8,1985,1985,6563,275000
721,848,6,2004,2004,4426,143000
722,864,4,1970,1970,8120,124500
723,1470,4,1954,1972,8172,135000
724,1698,9,2007,2008,13286,320000
725,864,4,1970,1970,6960,120500
726,1680,6,1988,2007,21695,222000
727,1232,7,2007,2007,7314,194500
728,1776,5,1958,1958,11475,110000
729,1208,4,1925,1950,6240,103000
730,1616,8,1995,1996,5389,236500
731,1146,7,2003,2003,9590,187500
732,2031,7,1998,1999,11404,222500
733,1144,5,1961,1983,10000,131400
734,948,5,1968,1968,8978,108000
735,1768,7,1914,1970,10800,163000
736,1040,3,1950,1950,8544,93500
737,1801,8,2005,2005,10463,239900
